date,sp500 close,nasdaq close,CPI,GDP,silver close,oil close,platinum close,palladium close,gold open,gold high,gold low,gold close,gold volume
14-01-2010,114.93,46.39,217.281,14980.193,18.66,39.06,161.45,44.84,111.51,112.37,110.79,112.03,18305238
15-01-2010,113.64,45.85,217.281,14980.193,18.41,38.4,160.25,45.76,111.35,112.01,110.38,110.86,18000724
18-01-2010,113.64,45.85,217.281,14980.193,18.41,38.4,160.25,45.76,111.35,112.01,110.38,110.86,18000724
19-01-2010,115.06,46.59,217.281,14980.193,18.79,38.93,165.12,46.94,110.95,111.75,110.83,111.52,10467927
20-01-2010,113.89,45.92,217.281,14980.193,17.86,37.89,163.22,47.05,109.97,110.05,108.46,108.94,17534231
21-01-2010,111.7,45.49,217.281,14980.193,17.38,37.24,159.79,45.3,108.48,108.78,106.61,107.37,25747831
22-01-2010,109.21,44.16,217.281,14980.193,17.07,36.34,154.88,43.3,106.93,107.68,106.01,107.17,24209966
25-01-2010,109.77,44.31,217.281,14980.193,17.13,36.81,155.19,44.36,107.44,107.72,107.07,107.48,13170442
26-01-2010,109.31,44.35,217.281,14980.193,16.71,36.5,153.52,42.75,106.87,107.99,106.75,107.56,12274165
27-01-2010,109.83,44.7,217.281,14980.193,16.5483,36.08,149.99,41.34,107.53,108.8,106.16,106.528,18991219
28-01-2010,108.57,43.55,217.281,14980.193,16.2083,36.16,151.21,42.16,107.18,107.23,105.18,106.48,16792253
29-01-2010,107.39,42.79,217.281,14980.193,16.19,35.64,150.47,41.6954,105.88,106.3,105.27,105.96,20278800
01-02-2010,109.06,43.26,217.281,14980.193,16.68,36.72,155.06,43.2494,106.64,108.48,106.37,108.35,14872885
02-02-2010,110.38,43.65,217.281,14980.193,16.64,37.5284,158.4,44.302,109.16,109.6,108.61,109.13,14292066
03-02-2010,109.83,43.89,217.281,14980.193,16.37,37.65,157.7,43.857,109.1,109.54,108.4305,108.7,13376745
04-02-2010,106.44,42.62,217.281,14980.193,15.32,35.8,150.41,40.85,106.79,106.8,103.75,104.37,39962209
05-02-2010,106.66,42.98,217.281,14980.193,15.19,35.21,148.02,40.09,103.76,104.68,102.28,104.68,32656665
08-02-2010,105.89,42.67,217.281,14980.193,15.02,35.09,147.1,40.68,104.41,105.14,104,104.04,17176296
09-02-2010,107.22,43.11,217.281,14980.193,15.43,36.21,150.25,41.912,105.18,106.15,104.87,105.41,25959174
10-02-2010,107.01,43.02,217.281,14980.193,15.25,36.51,151.34,41.36,105.13,105.5,104.11,105.12,16214398
11-02-2010,108.13,43.67,217.281,14980.193,15.67,36.78,152.94,42.08,105.58,107.56,105.27,107.13,19332173
12-02-2010,108.04,43.76,217.281,14980.193,15.52,36.31,151.45,41.72,106.08,107.1,105.57,107.04,14464157
15-02-2010,108.04,43.76,217.281,14980.193,15.52,36.31,151.45,41.72,106.08,107.1,105.57,107.04,14464157
16-02-2010,109.74,44.32,217.281,14980.193,16.11,37.79,153.7,43.32,109.45,109.87,109.1,109.62,20894637
17-02-2010,110.26,44.57,217.281,14980.193,16.02,37.97,153.12,43.79,109.66,110.01,108.87,109.25,19506091
18-02-2010,110.91,44.85,217.281,14980.193,16.18,38.73,153.23,43.91,109.61,110.11,109.19,109.98,18988709
19-02-2010,111.14,44.83,217.281,14980.193,16.27,39.09,153.37,43.86,109.3,110.39,108.81,109.47,21928676
22-02-2010,111.16,44.74,217.281,14980.193,16.17,39.03,152.57,44.18,109.86,109.97,108.66,109.07,10742292
23-02-2010,109.81,44.16,217.281,14980.193,15.82,38.33,151.46,43.05,108.84,108.91,107.65,107.89,13628999
24-02-2010,110.82,44.61,217.281,14980.193,15.89,38.99,150.37,42.15,107.33,108.16,107.1,107.36,17176088
25-02-2010,110.67,44.6,217.281,14980.193,16.09,38.11,153.1099,42.186,106.7,108.7,106.6,108.31,23345653
26-02-2010,110.74,44.76,217.281,14980.193,16.42,38.82,154.08,43.23,108.89,109.6,108.41,109.43,13033728
01-03-2010,111.89,45.41,217.353,14980.193,16.39,38.35,154.65,43.26,109.48,109.9,108.97,109.43,12811556
02-03-2010,112.2,45.55,217.353,14980.193,16.89,38.8,157,44.14,109.86,111.45,109.86,111.02,20102189
03-03-2010,112.3,45.6,217.353,14980.193,17.13,39.4,157.75,44.9,111.46,112.18,111.1763,111.63,16194423
04-03-2010,112.64,45.75,217.353,14980.193,17.1,39.15,158.21,46.2932,111.25,111.37,110.22,110.83,12944030
05-03-2010,114.25,46.44,217.353,14980.193,17.29,39.85,157.62,47.74,111.13,111.75,110.8,110.81,11091383
08-03-2010,114.27,46.53,217.353,14980.193,17.21,39.79,159.82,47.05,111.22,111.3,109.52,109.88,12752302
09-03-2010,114.46,46.79,217.353,14980.193,17.23,39.55,158.91,46.79,109.16,110.16,109.04,109.718,12649802
10-03-2010,114.97,47.17,217.353,14980.193,16.9499,39.9,159.38,46.25,109.94,110.5,108.02,108.47,21972932
11-03-2010,115.45,47.35,217.353,14980.193,17.13,40.05,161.02,46.014,108.28,108.65,107.86,108.6,9516603
12-03-2010,115.46,47.36,217.353,14980.193,17.05,39.51,160.54,46.31,108.56,108.77,107.45,107.95,11848993
15-03-2010,115.49,47.24,217.353,14980.193,17.02,38.83,161.99,46.33,108.16,108.56,107.82,108.36,7698073
16-03-2010,116.41,47.54,217.353,14980.193,17.36,39.79,163.08,47.24,110.02,110.57,109.7,110.4,17748979
17-03-2010,117.1,47.67,217.353,14980.193,17.41,40.23,162.68,47.86,110.18,110.46,109.55,109.59,13784291
18-03-2010,117.04,47.83,217.353,14980.193,17.39,39.92,162.53,47.81,110.1,110.61,109.5,110.34,13848221
19-03-2010,115.97,47.49,217.353,14980.193,16.97,39.2,160.7699,46.77,110.26,110.29,107.85,108.28,24328131
22-03-2010,116.59,47.92,217.353,14980.193,16.9,39.56,159.56,45.7,107.31,108,106.95,107.75,11579075
23-03-2010,117.41,48.2525,217.353,14980.193,17.02,39.7,160.73,46.48,107.5,108.5,107.34,108.32,11273395
24-03-2010,116.84,48.02,217.353,14980.193,16.57,38.94,157.72,44.54,106.94,107.07,106.24,106.3,14235437
25-03-2010,116.65,47.95,217.353,14980.193,16.61,38.9,160.02,45.19,107,107.25,106.48,106.78,16863466
26-03-2010,116.58,48,217.353,14980.193,16.92,38.83,159.53,45.58,107.16,108.7,106.82,108.59,17433561
29-03-2010,117.32,48.23,217.353,14980.193,17.35,39.96,162.8,47.41,108.87,109.17,108.4,108.75,11526946
30-03-2010,117.4,48.39,217.353,14980.193,17.27,39.95,161.9499,47.18,108.57,108.6615,107.87,107.97,9816459
31-03-2010,117,48.16,217.353,14980.193,17.45,40.29,164.29,47.85,109.44,109.5,108.85,108.95,13996074
01-04-2010,117.8,48.16,217.403,14980.193,17.84,41.24,166.77,48.92,109.97,110.47,109.92,110.26,11370417
02-04-2010,117.8,48.16,217.403,14980.193,17.84,41.24,166.77,48.92,109.97,110.47,109.92,110.26,11370417
05-04-2010,118.76,48.61,217.403,14980.193,18.08,42.07,170.43,50.38,110.56,110.9837,110.27,110.89,8207564
06-04-2010,119.04,48.75,217.403,14980.193,17.94,42.02,170.04,50.81,110.89,111.51,110.83,111.03,10321993
